country,gdp_per_capita_2022,gdp_per_capita_2023
Suriname,5858.824661,6069.028901
Eswatini,3986.887239,3797.301209
Sweden,56299.50573,56305.2502
Switzerland,93259.90572,99994.93802
Syrian Arab Republic,,
Tajikistan,1076.434691,1188.993038
Tanzania,1193.359619,1211.058594
Thailand,6913.050805,7171.808093
Timor-Leste,2389.295875,1648.64729
Togo,923.2403712,1012.973873
Tonga,4681.679407,
Trinidad and Tobago,19629.46534,18332.96402
Tunisia,3607.910238,3895.386639
Turkey,10674.50417,12985.75315
Turkmenistan,8792.548504,9190.671543
Turks and Caicos Islands,26886.51474,30438.41759
Tuvalu,5221.53307,5465.102807
Uganda,964.3541465,1014.213978
Ukraine,4575.975098,5181.362793
United Arab Emirates,53707.98008,52976.80838
United Kingdom,45564.15694,48866.60396
United States,77246.67388,81695.18707
Uruguay,20499.24222,22564.53246
Uzbekistan,2276.161233,2496.107758
Vanuatu,3128.540422,3367.094639
Venezuela,,
Vietnam,4179.01179,4346.768492
Virgin Islands (U.S.),,
West Bank and Gaza,3799.95527,3367.60699
"Yemen, Rep.",,
Zambia,1456.90157,1369.129365
Zimbabwe,1676.821489,1592.416574
